"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2024","184.25","184.22","185.88","183.43","58.41M","-0.75%"
"01/02/2024","185.64","187.15","188.44","183.88","82.49M","-3.58%"
"12/29/2023","192.53","193.90","194.40","191.73","42.67M","-0.54%"
"12/28/2023","193.58","194.14","194.66","193.17","34.05M","0.22%"
"12/27/2023","193.15","192.49","193.50","191.09","48.09M","0.05%"
"12/26/2023","193.05","193.61","193.89","192.83","28.92M","-0.28%"
"12/22/2023","193.60","195.18","195.41","192.97","37.15M","-0.55%"
"12/21/2023","194.68","196.10","197.08","193.50","46.48M","-0.08%"
"12/20/2023","194.83","196.90","197.68","194.83","52.24M","-1.07%"
"12/19/2023","196.94","196.16","196.95","195.89","40.71M","0.54%"
"12/18/2023","195.89","196.09","196.63","194.39","55.75M","-0.85%"
"12/15/2023","197.57","197.53","198.40","197.00","128.54M","-0.27%"
"12/14/2023","198.11","198.02","199.62","196.16","66.83M","0.08%"
"12/13/2023","197.96","195.09","198.00","194.85","70.40M","1.67%"
"12/12/2023","194.71","193.08","194.72","191.72","52.70M","0.79%"
"12/11/2023","193.18","193.11","193.49","191.42","60.94M","-1.29%"
